date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:34:08	5310/5310	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22595d293a-247c%22	http://consiliumnsit.com/robots.txt		(from )
01:34:09	28899/28899	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/index.html	(from )
01:34:11	122540/122540	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/bootstrap.min.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/bootstrap.min.css	(from http://consiliumnsit.com/)
01:34:11	6310/6310	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/flexslider.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/flexslider.css	(from http://consiliumnsit.com/)
01:34:12	4955/4955	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/jquery.fancybox.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/jquery.fancybox.css	(from http://consiliumnsit.com/)
01:34:12	15658/15658	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/main.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/main.css	(from http://consiliumnsit.com/)
01:34:13	1739/1739	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/responsive.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/responsive.css	(from http://consiliumnsit.com/)
01:34:14	55522/55522	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/animate.min.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/animate.min.css	(from http://consiliumnsit.com/)
01:34:15	5808/5808	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/font-icon.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/font-icon.css	(from http://consiliumnsit.com/)
01:34:16	3790/3790	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/Footer-with-map.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/Footer-with-map.css	(from http://consiliumnsit.com/)
01:34:17	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/Users/Sarthak/Desktop/SAC/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://consiliumnsit.com/)
01:34:17	1776/1776	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/slick/slick.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/slick/slick.css	(from http://consiliumnsit.com/)
01:34:18	3145/3145	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/slick/slick-theme.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/slick/slick-theme.css	(from http://consiliumnsit.com/)
01:34:19	3835/3835	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/css/index.css	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/css/index.css	(from http://consiliumnsit.com/)
01:34:20	19808/19808	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/images/logowhite.png	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/images/logowhite.png	(from http://consiliumnsit.com/)
01:34:22	6408/6408	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/tradeverse.html	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/tradeverse.html	(from http://consiliumnsit.com/)
01:34:22	6805/6805	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/ccc.html	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/ccc.html	(from http://consiliumnsit.com/)
01:34:23	6806/6806	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2015:11:27%20GMT	http://consiliumnsit.com/nsbc.html	C:/Users/Sarthak/Desktop/SAC/consiliumnsit.com/nsbc.html	(from http://consiliumnsit.com/)
